,Rates
AED,4.160137
AFN,108.617983
ALL,121.134894
AMD,552.699617
ANG,2.040657
AOA,640.093378
ARS,114.400501
AUD,1.588884
AWG,2.039296
AZN,1.924591
BAM,1.956051
BBD,2.286158
BDT,97.12073
BGN,1.956026
BHD,0.427029
BIF,2259.59244
BMD,1.132628
BND,1.543315
BOB,7.80685
BRL,6.39178
BSD,1.132228
BTC,1.9420637e-05
BTN,84.760808
BWP,13.219783
BYN,2.880925
BYR,22199.504674
BZD,2.282278
CAD,1.449463
CDF,2268.653533
CHF,1.040912
CLF,0.034414
CLP,949.59367
CNY,7.212691
COP,4490.73327
CRC,711.050225
CUC,1.132628
CUP,30.014636
CVE,111.209233
CZK,25.489053
DJF,201.290343
DKK,7.436717
DOP,63.996414
DZD,157.493408
EGP,17.791199
ERN,16.989768
ETB,53.516784
EUR,1.0
FJD,2.418134
FKP,0.844299
GBP,0.85083
GEL,3.539487
GGP,0.844299
GHS,6.943421
GIP,0.844299
GMD,59.35348
GNF,10561.753806
GTQ,8.759666
GYD,236.778805
HKD,8.824926
HNL,27.353229
HRK,7.520085
HTG,111.945113
HUF,362.922315
IDR,16262.552958
ILS,3.571108
IMP,0.844299
INR,84.815416
IQD,1654.7692
IRR,47881.839744
ISK,146.686851
JEP,0.844299
JMD,176.044748
JOD,0.803064
JPY,127.695911
KES,127.418397
KGS,96.043328
KHR,4608.66202
KMF,494.250461
KPW,1019.365407
KRW,1329.954523
KWD,0.342722
KYD,0.943527
KZT,493.94573
LAK,12300.337882
LBP,1736.318106
LKR,228.719163
LRD,160.889851
LSL,18.121819
LTL,3.344355
LVL,0.685115
LYD,5.204385
MAD,10.447179
MDL,20.043161
MGA,4519.18496
MKD,61.481148
MMK,2021.107066
MNT,3237.297828
MOP,9.089547
MRO,404.347926
MUR,49.476868
MVR,17.498911
MWK,924.800744
MXN,24.12814
MYR,4.776858
MZN,72.295323
NAD,18.122225
NGN,464.275762
NIO,39.896841
NOK,10.270714
NPR,135.616893
NZD,1.657946
OMR,0.436038
PAB,1.132228
PEN,4.60182
PGK,4.003873
PHP,57.036301
PKR,198.634568
PLN,4.618814
PYG,7747.67935
QAR,4.123959
RON,4.945623
RSD,117.623144
RUB,83.991487
RWF,1138.290928
SAR,4.249005
SBD,9.126788
SCR,16.731473
SDG,495.513738
SEK,10.258006
SGD,1.544678
SHP,1.560076
SLL,12597.647378
SOS,661.455109
SRD,24.370731
STD,23443.108476
SVC,9.907205
SYP,1423.467983
SZL,17.885218
THB,38.135855
TJS,12.783042
TMT,3.964197
TND,3.260813
TOP,2.587492
TRY,15.004033
TTD,7.673866
TWD,31.3517
TZS,2608.442339
UAH,30.896386
UGX,4036.455416
USD,1.132628
UYU,49.836943
UZS,12215.390353
VEF,242190052052.64
VND,25727.640238
VUV,126.083683
WST,2.903651
XAF,656.054189
XAG,0.050425
XAU,0.000635
XCD,3.060983
XDR,0.80832
XOF,656.923984
XPF,119.599016
YER,283.439996
ZAR,18.082199
ZMK,10195.003566
ZMW,20.182277
ZWL,364.705686
